Utility,Year,Measurement (service lines),size,Match,PWSID,MatchType
Aberdeen - Cliffwood/Cliffwood Beach,2021,0,Medium,Aberdeen - Cliffwood-Cliffwood Beach,NJ1330002,manual
Aberdeen - Freneau,2021,0,Small,Aberdeen - Freneau,NJ1330004,join
Aberdeen - High School/Oakshade Area,2021,0,Small,Aberdeen - High School/ Oak Shade Area,NJ1330003,manual
Allamuchy Township - Drinking Water,2021,0,Small,Allamuchy Twp Water and Sewer,NJ2101001,manual
Allendale Water Department - Veolia,2021,1732,Medium,Allendale WD,NJ0201001,manual
Allentown Boro - Drinking Water,2021,176,Small,Allentown WD,NJ1302001,manual
Alpha Municipal Water Works Department,2021,0,Small,Alpha Municipal Water Works,NJ2102001,manual
Veolia Water New Jersey - Andover,2021,47,Small,Andover,NJ1902004,manual
Andover Boro Water Department,2021,0,Small,Andover Boro WD,NJ1901001,manual
Aqua NJ - Bear Brook,2021,0,Small,Aqua NJ - Bear Brook,NJ1907002,join
Aqua NJ - Blackwood,2021,12642,Large,Aqua NJ - Blackwood,NJ0415002,join
Aqua NJ - Brainards,2021,34,Small,Aqua NJ - Brainards Mutual Water Ass.,NJ2110001,manual
Aqua NJ - Bunnvale,2021,56,Small,Aqua NJ - Bunnvale,NJ1019001,join
Aqua NJ - Byram,2021,0,Small,Aqua NJ - Byram,NJ1904009,join
Aqua NJ - Califon,2021,306,Small,Aqua NJ - Califon,NJ1004001,join
Aqua NJ - California Village,2021,0,Small,Aqua NJ - California Village,NJ0326001,join
Aqua NJ - Cliffside Park,2021,0,Small,Aqua NJ - Cliffside Park,NJ1438001,join
Aqua NJ - Eastern Division,2021,0,Medium,Aqua NJ - Eastern Division,NJ1505002,join
Aqua NJ - Fox Hill,2021,0,Small,Aqua NJ - Fox Hill,NJ1015004,join
Aqua NJ - Hamilton Square,2021,6549,Large,Aqua NJ - Hamilton Square,NJ1103001,join
Aqua NJ - Hanover Mobile Village,2021,0,Small,Aqua NJ - Hanover Mobile Village,NJ0326004,join
Aqua NJ - Harkers Hollow,2021,0,Small,Aqua NJ - Harkers Hollow,NJ2110003,join
Aqua NJ - Lawrence,2021,715,Medium,Aqua NJ - Lawrence,NJ1107002,join
